robot_id,node_id,ETA
A_0,d_1,0
A_0,node_0,3
A_0,node_6,20
A_0,node_12,38
A_0,node_18,56
A_0,node_24,74
A_0,P_4,83
A_0,P_4,-1
A_0,node_24,92
A_0,node_18,110
A_0,node_12,128
A_0,P_2,137
A_0,node_12,146
A_0,node_13,152
A_0,node_16,161
A_0,L_3,168
A_0,node_16,175
A_0,node_13,184
A_0,node_12,190
A_0,node_6,208
A_0,node_0,225
A_0,d_1,228
A_1,d_1,0
A_1,node_0,4
A_1,node_6,21
A_1,node_12,39
A_1,node_18,57
A_1,P_3,66
A_1,node_18,75
A_1,node_12,93
A_1,node_6,111
A_1,P_1,120
A_1,node_6,129
A_1,node_7,135
A_1,node_10,144
A_1,L_2,151
A_1,node_10,158
A_1,node_7,167
A_1,node_4,176
A_1,node_1,184
A_1,node_0,190
A_1,d_1,193
B_0,d_2,0
B_0,node_3,3
B_0,node_9,20
B_0,node_15,38
B_0,node_21,56
B_0,node_27,74
B_0,P_8,84
B_0,node_27,94
B_0,node_21,112
B_0,P_7,122
B_0,node_21,132
B_0,node_20,137
B_0,node_23,146
B_0,L_4,153
B_0,node_23,160
B_0,node_20,169
B_0,node_21,174
B_0,node_15,192
B_0,node_9,210
B_0,node_3,227
B_0,d_2,230
